,Load: Load Number,Load: Created Date,Actual Pickup Date,Origin Zip Code,Destination Zip Code,Origin State,Destination State,Mode,Linear Feet,Total Weight,Distance (Miles),Total HU,Revenue (Mixed) Currency,Revenue (Mixed),Carrier Cost (Mixed) Currency,Carrier Cost (Mixed),Target buy rate,GS Network buy rate
102,SHP5056636,6/28/2024,7/3/2024,86401,33182,Arizona,Florida,Partial F/SD (LTL Spot Market),9.0,2700.0,2434.97,1.0,USD,1850.0,USD,1680.0,4803.0,4677.0
103,SHP5056257,6/28/2024,7/3/2024,17201,33122,Pennsylvania,Florida,Partial F/SD (LTL Spot Market),13.92,6209.0,1149.99,3.0,USD,1400.0,USD,1200.0,2527.0,2509.0
104,SHP5056023,6/28/2024,7/22/2024,53532,33178,Wisconsin,Florida,Partial Van (LTL Spot Market),20.0,9935.0,1542.84,12.0,USD,2300.0,USD,2100.0,3331.0,3208.0
105,SHP5055527,6/28/2024,7/2/2024,75050,33172,Texas,Florida,Partial Van (LTL Spot Market),21.06,14590.0,1333.3,20.0,USD,2063.02,USD,1500.0,2859.0,2836.0
106,SHP5053820,6/27/2024,6/28/2024,77041,33182,Texas,Florida,Partial F/SD (LTL Spot Market),15.0,9050.0,1210.39,2.0,USD,1440.0,USD,1000.0,2968.0,2877.0
107,SHP5052894,6/27/2024,7/2/2024,91766,78045,California,Texas,Partial Van (LTL Spot Market),10.0,4977.0,1472.78,6.0,USD,1274.7,USD,1080.0,2978.0,2820.0
108,SHP5052454,6/27/2024,6/28/2024,37066,79928,Tennessee,Texas,Partial Van (LTL Spot Market),13.1,7678.0,1329.04,15.0,USD,1125.75,USD,1067.58,2277.0,2153.0
109,SHP5052139,6/27/2024,6/27/2024,08846,56353,New Jersey,Minnesota,Partial Van (LTL Spot Market),0.01,7000.0,1251.75,3.0,USD,600.0,USD,500.0,1838.0,1881.0
110,SHP5050091,6/26/2024,6/28/2024,77073,11559,Texas,New York,Partial F/SD (LTL Spot Market),15.0,1084.0,1673.48,2.0,USD,6600.0,USD,5000.0,4099.0,4149.0
111,SHP5049966,6/26/2024,7/26/2024,74002,33147,Oklahoma,Florida,Partial Van (LTL Spot Market),17.0,20671.0,1418.84,9.0,USD,2900.0,USD,2400.0,3201.0,3142.0
112,SHP5049632,6/26/2024,6/27/2024,92821,78758,California,Texas,Partial Van (LTL Spot Market),16.0,4630.0,1366.78,7.0,USD,1637.0,USD,1450.0,3161.0,3157.0
113,SHP5049539,6/26/2024,6/27/2024,21236,33178,Maryland,Florida,Partial Van (LTL Spot Market),26.0,7890.0,1114.71,13.0,USD,1693.87,USD,1670.0,2293.0,2161.0
114,SHP5048080,6/26/2024,7/1/2024,55449,33182,Minnesota,Florida,Partial Van (LTL Spot Market),23.0,16668.0,1817.59,9.0,USD,2380.0,USD,2100.0,3651.0,3673.0
115,SHP5047815,6/26/2024,6/26/2024,94560,23320,California,Virginia,Partial Van (LTL Spot Market),14.0,13536.0,2973.41,6.0,USD,3067.0,USD,2800.0,5794.0,5710.0
116,SHP5046529,6/25/2024,6/27/2024,77041,33018,Texas,Florida,Partial Van (LTL Spot Market),25.5,7466.0,1184.22,7.0,USD,1490.0,USD,1400.0,2760.0,2676.0
117,SHP5045975,6/25/2024,6/28/2024,80020,33182,Colorado,Florida,Partial Van (LTL Spot Market),23.0,5173.0,2088.82,12.0,USD,2407.09,USD,2300.0,3419.0,3404.0
118,SHP5045396,6/25/2024,6/27/2024,77017,33166,Texas,Florida,Partial F/SD (LTL Spot Market),26.0,4500.0,1193.15,10.0,USD,2190.0,USD,1750.0,2860.0,2851.0
119,SHP5044727,6/25/2024,6/26/2024,60542,33182,Illinois,Florida,Partial Van (LTL Spot Market),22.0,10098.0,1426.75,6.0,USD,2385.0,USD,1600.0,2813.0,2894.0
120,SHP5044179,6/25/2024,7/3/2024,74127,33178,Oklahoma,Florida,Partial Van (LTL Spot Market),20.2,17795.0,1387.49,10.0,USD,1985.65,USD,1800.0,3203.0,3129.0
121,SHP5043494,6/25/2024,6/27/2024,43229,33132,Ohio,Florida,Partial F/SD (LTL Spot Market),20.0,6620.0,1169.47,2.0,USD,1350.0,USD,1035.0,2915.0,2855.0
122,SHP5043377,6/25/2024,6/26/2024,61080,33178,Illinois,Florida,Partial Van (LTL Spot Market),19.0,7245.0,1481.53,37.0,USD,1764.54,USD,1615.0,3103.0,2957.0
123,SHP5043029,6/25/2024,6/26/2024,46360,33316,Indiana,Florida,Partial F/SD (LTL Spot Market),9.0,6120.0,1354.9,1.0,USD,1550.0,USD,1200.0,3144.0,3048.0
124,SHP5041982,6/24/2024,6/27/2024,98045,77032,Washington,Texas,Partial F/SD (LTL Spot Market),19.0,10781.0,2352.43,1.0,USD,2560.0,USD,2000.0,3895.0,3847.0
